title,authors,language_code,num_pages,category
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,eng,304.0,medium
Changeling (Changeling  #1),Delia Sherman,eng,256.0,medium
The Changeling Sea,Patricia A. McKillip,eng,137.0,short
The Changeling,Zilpha Keatley Snyder,eng,228.0,medium
The Changeling,Kate Horsley,eng,339.0,medium
The Changeling (Daughters of England  #15),Philippa Carr,eng,369.0,medium
The Known World,Edward P. Jones,eng,388.0,medium
The Known World,Edward P. Jones/Kevin R. Free,en-US,14.0,short
The Known World,Edward P. Jones,eng,576.0,large
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,eng,334.0,medium
Artesia: Adventures in the Known World,Mark Smylie,eng,352.0,medium
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,eng,416.0,large
Uncommon Carriers,John McPhee,en-US,248.0,medium
Heirs of General Practice,John McPhee,eng,128.0,short
The Control of Nature,John McPhee,en-US,288.0,medium
Annals of the Former World,John McPhee,eng,720.0,large
Coming Into the Country,John McPhee,eng,448.0,large
La Place de la Concorde Suisse,John McPhee,fre,160.0,short
Giving Good Weight,John McPhee,eng,288.0,medium
Rising from the Plains,John McPhee,eng,208.0,medium
The Heidi Chronicles,Wendy Wasserstein,eng,81.0,short
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,eng,249.0,medium
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,eng,138.0,short
Simply Beautiful Beaded Jewelry,Heidi Boyd,en-US,128.0,short
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,eng,192.0,short
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,en-US,108.0,short
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,eng,352.0,medium
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,eng,192.0,short
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,eng,192.0,short
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,eng,832.0,large
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,eng,123.0,short
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,en-US,128.0,short
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,eng,423.0,large
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,eng,436.0,large
Dune Messiah (Dune Chronicles #2),Frank Herbert,eng,331.0,medium
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,en-US,592.0,large
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,eng,480.0,large
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,eng,426.0,large
Heretics of Dune (Dune Chronicles #5),Frank Herbert,eng,471.0,large
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,eng,192.0,short
The Power of One (The Power of One  #1),Bryce Courtenay,eng,544.0,large
The Power of One (The Power of One  #1),Bryce Courtenay,eng,291.0,medium
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,en-US,256.0,medium
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,eng,205.0,medium
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,eng,240.0,medium
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,eng,336.0,medium
eBay for Dummies,Marsha Collier,eng,386.0,medium
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,eng,260.0,medium
Starting an eBay Business for Dummies,Marsha Collier,eng,384.0,medium
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,eng,260.0,medium
ebay Timesaving Techniques for Dummies,Marsha Collier,en-US,391.0,medium
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,en-US,864.0,large
Ruby Cookbook,Lucas Carlson/Leonard Richardson,eng,873.0,large
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,eng,240.0,medium
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,eng,206.0,medium
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,eng,514.0,large
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,eng,838.0,large
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,eng,960.0,large
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,eng,837.0,large
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,eng,80.0,short
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,eng,803.0,large
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,eng,752.0,large
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,eng,803.0,large
Dinner with Anna Karenina,Gloria Goldreich,eng,360.0,medium
Tolstoy: Anna Karenina,Anthony Thorlby,eng,128.0,short
Untouchable,Mulk Raj Anand/E.M. Forster,eng,160.0,short
The Untouchable,John Banville,eng,367.0,medium
The Untouchables,Eliot Ness/Oscar Fraley,eng,256.0,medium
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,en-US,320.0,medium
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,eng,100.0,short
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,eng,224.0,medium
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,eng,216.0,medium
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,eng,48.0,short
Wrinkles in Time,George Smoot/Keay Davidson,eng,360.0,medium
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,eng,250.0,medium
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,eng,32.0,short
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,spa,205.0,medium
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,eng,367.0,medium
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,eng,352.0,medium
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,en-US,320.0,medium
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,eng,331.0,medium
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,eng,244.0,medium
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,eng,215.0,medium
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,eng,191.0,short
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,eng,144.0,short
I am Charlotte Simmons,Tom Wolfe,eng,738.0,large
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,eng,48.0,short
The Puffin Book of Nonsense Verse,Quentin Blake,eng,287.0,medium
Henry Miller on Writing,Henry Miller/Thomas H. Moore,eng,217.0,medium
Quiet Days in Clichy,Henry Miller,eng,154.0,short
Tropic of Cancer,Henry Miller/Jiří Níl,eng,318.0,medium
Tropic of Capricorn,Henry Miller,eng,348.0,medium
Nexus (The Rosy Crucifixion  #3),Henry Miller,eng,316.0,medium
Sexus (The Rosy Crucifixion  #1),Henry Miller,eng,506.0,large
The Air-Conditioned Nightmare,Henry Miller,eng,292.0,medium
The Portrait of a Lady,Henry James/Patricia Crick,eng,797.0,large
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,eng,635.0,large
Writing,Marguerite Duras,eng,91.0,short
The War,Marguerite Duras/Barbara Bray,eng,192.0,short
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,en-US,181.0,short
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,eng,178.0,short
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,eng,464.0,large
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,eng,102.0,short
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,eng,216.0,medium
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,eng,132.0,short
Sand and Foam,Kahlil Gibran/جبران خليل جبران,eng,100.0,short
Treasure Island,Robert Louis Stevenson,eng,311.0,medium
Treasure Island,Robert Louis Stevenson/Scott McKowen,en-US,213.0,medium
Treasure Island,Robert Louis Stevenson,eng,245.0,medium
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,eng,64.0,short
Treasure Island,Robert Louis Stevenson/Milo Winter,en-US,272.0,medium
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,eng,232.0,medium
100 Years of Lynchings,Ralph Ginzburg,eng,270.0,medium
Cien años de soledad,Gabriel García Márquez,spa,448.0,large
On Beyond Zebra!,Dr. Seuss,eng,64.0,short
The Wedding Clause,Debbie Raleigh,eng,256.0,medium
The Zebra Wall,Kevin Henkes,eng,147.0,short
El perfume: Historia de un asesino,Patrick Süskind,spa,239.0,medium
The Door Into Summer,Robert A. Heinlein,eng,304.0,medium
Stranger in a Strange Land,Robert A. Heinlein,eng,528.0,large
To Sail Beyond the Sunset,Robert A. Heinlein,en-US,434.0,large
Job: A Comedy of Justice,Robert A. Heinlein,en-US,439.0,large
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,eng,256.0,medium
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,en-US,307.0,medium
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,eng,298.0,medium
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,eng,368.0,medium
Douglas Adams's Starship Titanic,Terry Jones,eng,256.0,medium
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,eng,336.0,medium
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,eng,72.0,short
On Bullshit,Harry G. Frankfurt,eng,67.0,short
Another Bullshit Night in Suck City,Nick Flynn,eng,347.0,medium
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,en-US,317.0,medium
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,eng,32.0,short
Underworld,Don DeLillo,eng,827.0,large
Libra,Don DeLillo,eng,480.0,large
Americana,Don DeLillo,eng,377.0,medium
Running Dog,Don DeLillo,eng,256.0,medium
Cosmopolis,Don DeLillo,eng,224.0,medium
Great Jones Street,Don DeLillo,eng,272.0,medium
The Names,Don DeLillo,eng,339.0,medium
Against the Day,Thomas Pynchon,eng,1085.0,large
V.,Thomas Pynchon,eng,547.0,large
The Crying of Lot 49,Thomas Pynchon,eng,152.0,short
Gravity's Rainbow,Thomas Pynchon,eng,784.0,large
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,eng,773.0,large
Vineland,Thomas Pynchon,en-US,385.0,medium
Gravity's Rainbow,Thomas Pynchon,eng,776.0,large
Slow Learner: Early Stories,Thomas Pynchon,eng,193.0,short
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,eng,352.0,medium
The Year of Magical Thinking,Joan Didion,en-US,227.0,medium
The White Album,Joan Didion,eng,222.0,medium
A Book of Common Prayer,Joan Didion,eng,272.0,medium
Where I Was From,Joan Didion,eng,240.0,medium
Slouching Towards Bethlehem,Joan Didion,eng,238.0,medium
Democracy,Joan Didion,en-US,234.0,medium
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,eng,1122.0,large
Play It As It Lays,Joan Didion/David Thomson,eng,231.0,medium
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,eng,308.0,medium
City of Glass (The New York Trilogy  #1),Paul Auster,eng,203.0,medium
Ghosts (The New York Trilogy  #2),Paul Auster,eng,96.0,short
The Locked Room (The New York Trilogy  #3),Paul Auster,eng,179.0,short
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,eng,256.0,medium
The Brooklyn Follies,Paul Auster,eng,306.0,medium
Moon Palace,Paul Auster,eng,320.0,medium
The Music of Chance,Paul Auster,en-US,217.0,medium
Travels in the Scriptorium,Paul Auster,eng,145.0,short
Leviathan,Paul Auster,eng,275.0,medium
The Red Notebook: True Stories,Paul Auster,eng,104.0,short
Timbuktu / Leviathan / Moon Palace,Paul Auster,fre,1075.0,large
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,eng,608.0,large
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,en-US,211.0,medium
Collapse of Complex Societies,Joseph A. Tainter,eng,262.0,medium
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,eng,544.0,large
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,eng,272.0,medium
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,eng,576.0,large
My Inventions,Nikola Tesla,eng,88.0,short
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,eng,542.0,large
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,eng,144.0,short
Tesla Papers,Nikola Tesla/David Hatcher Childress,eng,100.0,short
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,eng,249.0,medium
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,en-US,828.0,large
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,eng,112.0,short
Lord of the Flies,William Golding,eng,6.0,short
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,eng,397.0,medium
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,eng,216.0,medium
The Lovely Bones,Alice Sebold,en-GB,328.0,medium
The Lovely Bones,Alice Sebold,en-US,532.0,large
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,eng,224.0,medium
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,en-US,296.0,medium
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,en-US,456.0,large
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,mul,575.0,large
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,eng,245.0,medium
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,eng,272.0,medium
Vice (V  #8),Jane Feather,eng,419.0,large
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,eng,540.0,large
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,eng,32.0,short
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,en-GB,408.0,large
Motorcycle Basics Techbook,John Harold Haynes,eng,222.0,medium
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,eng,191.0,short
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,eng,304.0,medium
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,eng,1392.0,large
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,eng,352.0,medium
Atlas Shrugged,Ayn Rand/Leonard Peikoff,eng,1168.0,large
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,eng,224.0,medium
The Fountainhead,Ayn Rand,en-US,752.0,large
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,eng,176.0,short
Anthem,Ayn Rand,eng,105.0,short
We the Living,Ayn Rand/Leonard Peikoff,eng,464.0,large
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,eng,340.0,medium
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,eng,681.0,large
Sailing for Dummies,J.J. Isler/Peter Isler,eng,416.0,large
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,eng,368.0,medium
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,eng,192.0,short
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,eng,286.0,medium
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,en-US,571.0,large
The Natural,Bernard Malamud/Kevin Baker,eng,231.0,medium
Digging to America,Anne Tyler,eng,277.0,medium
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,eng,826.0,large
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,en-US,528.0,large
The Plot Against America,Philip Roth,eng,391.0,medium
Naked Pictures of Famous People,Jon   Stewart,en-GB,164.0,short
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,eng,352.0,medium
Crónica de una muerte anunciada,Gabriel García Márquez,spa,118.0,short
Cien años de soledad,Gabriel García Márquez,spa,496.0,large
Del amor y otros demonios,Gabriel García Márquez,spa,176.0,short
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,eng,533.0,large
Memoria de mis putas tristes,Gabriel García Márquez,spa,112.0,short
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,eng,425.0,large
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,eng,288.0,medium
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,eng,363.0,medium
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,eng,128.0,short
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,spa,480.0,large
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,eng,295.0,medium
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,eng,287.0,medium
Cryptonomicon,Neal Stephenson,eng,1139.0,large
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,fre,418.0,large
The Confusion (The Baroque Cycle  #2),Neal Stephenson,en-US,815.0,large
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,eng,927.0,large
The Cobweb,Neal Stephenson/J. Frederick George,eng,448.0,large
The Big U,Neal Stephenson,en-US,308.0,medium
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,eng,499.0,large
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,eng,640.0,large
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,en-US,464.0,large
Snow Crash,Neal Stephenson/Guy Abadia,eng,438.0,large
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,eng,450.0,large
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,eng,381.0,medium
The Design of Everyday Things,Donald A. Norman,eng,240.0,medium
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,eng,272.0,medium
The Psychology of Everyday Things,Donald A. Norman,eng,257.0,medium
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,en-GB,259.0,medium
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,eng,192.0,short
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,eng,197.0,short
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,eng,192.0,short
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,eng,192.0,short
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,eng,192.0,short
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,eng,192.0,short
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,eng,200.0,short
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,en-US,198.0,short
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,eng,192.0,short
Pompeii,Robert   Harris,eng,274.0,medium
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,eng,360.0,medium
Of Mice and Men,John Steinbeck,eng,103.0,short
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,en-US,464.0,large
The Westing Game,Ellen Raskin,eng,182.0,short
The Egypt Game,Zilpha Keatley Snyder,eng,215.0,medium
Memoirs of a Geisha,Arthur Golden,eng,503.0,large
Memoirs of a Geisha,Arthur Golden,eng,434.0,large
Memoirs of a Geisha,Arthur Golden,en-US,497.0,large
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,eng,144.0,short
Memoirs of a Geisha,Arthur Golden,eng,497.0,large
Geisha of Gion,Mineko Iwasaki/Rande Brown,eng,334.0,medium
Love As A Foreign Language #5,J. Torres/Eric  Kim,eng,58.0,short
Jungle Love,Margaret Johnson/Philip Prowse,eng,95.0,short
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,eng,0.0,short
Angels & Demons (Robert Langdon  #1),Dan Brown,eng,736.0,large
Ángeles y demonios (Robert Langdon  #1),Dan Brown,spa,508.0,large
Angeles & Demonios,Dan Brown/Raúl Amundaray,spa,18.0,short
The Da Vinci Code (Robert Langdon  #2),Dan Brown,eng,489.0,large
The Da Vinci Code,Dan Brown,eng,467.0,large
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,fre,744.0,large
Deception Point,Dan Brown,eng,736.0,large
Deception Point,Dan Brown,eng,585.0,large
Deception Point,Dan Brown,eng,448.0,large
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,eng,383.0,medium
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,eng,258.0,medium
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,eng,320.0,medium
Think and Grow Rich,Napoleon Hill,eng,368.0,medium
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,eng,256.0,medium
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,en-US,288.0,medium
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,en-US,384.0,medium
The Richest Man in Babylon,George S. Clason,eng,194.0,short
The Richest Man in Babylon,George S. Clason,eng,4.0,short
Shibumi,Trevanian/Gisela Stege,eng,480.0,large
1776,David McCullough,eng,386.0,medium
1776,Peter  Stone/Sherman Edwards,eng,192.0,short
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,eng,284.0,medium
The Good Earth (House of Earth  #1),Pearl S. Buck,eng,418.0,large
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,eng,5.0,short
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,eng,399.0,medium
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,eng,384.0,medium
Snow Flower and the Secret Fan,Lisa See,eng,269.0,medium
The Broker,John Grisham,eng,422.0,large
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,eng,1344.0,large
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,eng,320.0,medium
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,en-US,201.0,medium
